road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_106,link,Km post Missing,23.5170827,90.8607778,1.0,,N1LRP055,N102_42,16.250446585271884
N1,N1_107,link,Km post Missing,23.5135833,90.8697771,1.0,,N1LRP056,N102_42,15.83279575296622
N1,N1_109,link,Km post Missing,23.5088056,90.8778604,0.2629999999999981,,N1LRP057,N102_37,15.578098120611045
N1,N1_110,link,Km post Missing,23.506,90.8869163,1.0,,N1LRP058,N102_37,15.101513988018333
N1,N1_111,link,Km post Missing,23.5056389,90.8966108,1.0,,N1LRP059,N102_37,14.431591276671236
N1,N1_113,link,Km post Missing,23.5062778,90.9063889,0.4309999999999974,,N1LRP060,N102_34,13.6957580838506
N1,N1_114,link,Km post Missing,23.5057222,90.9160278,1.0,,N1LRP061,N102_34,13.06722332571545
N1,N1_116,link,Km post Missing,23.5055278,90.9257216,0.43900000000000006,,N1LRP062,N102_34,12.44969534737455
N1,N1_117,link,Km post Missing,23.5042778,90.9354163,1.0,,N1LRP063,N102_34,11.979440536056641
N1,N1_119,link,Km post Missing,23.5020278,90.9448886,0.17099999999999937,,N1LRP064,N102_34,11.684245463070807
N1,N1_121,link,Km post Missing,23.4995274,90.9541667,0.7310000000000088,,N1LRP065,N102_34,11.502022383742442
N1,N1_122,link,Km post Missing,23.4986386,90.9651111,1.0,,N1LRP066,N102_32,11.164425387375774
N1,N1_123,link,Ctg 191 km,23.4972774,90.9674716,0.45699999999999363,,N1LRP067,N102_32,11.207408536849025
N1,N1_125,link,Km post Missing,23.4942219,90.9765549,0.5480000000000018,,N1LRP068,N102_18,11.012628923344208
N1,N1_126,link,Km post Missing,23.4942497,90.985833,1.0,,N1LRP069,N102_18,10.259916678194987
N1,N1_128,link,Km post Missing,23.4911386,90.9950274,0.6859999999999928,,N1LRP070,N102_18,9.78748480713735
N1,N1_129,link,Ctg 188 km,23.4896108,91.0043056,0.9830000000000041,,N1LRP071,N102_16,9.203689575594849
N1,N1_130,link,"Ctg 188 km,Comilla 20 km",23.4893052,91.0112778,0.7339999999999947,,N1LRP072,N102_16,8.719368593192502
N1,N1_131,link,Ctg 187 km,23.488333,91.0140833,0.3119999999999976,,N1LRP073,N102_13,8.598520618178188
N1,N1_133,link,Km post missing,23.4846386,91.0229438,0.6189999999999998,,N1LRP074,N102_11,8.051028698737893
N1,N1_134,link,Km post missing,23.4827771,91.0321382,1.0,,N1LRP075,N102_10,7.341582671263951
N1,N1_135,link,Ctg 184 km,23.4814716,91.0419719,1.0539999999999878,,N1LRP076,N102_10,6.586272117735576
N1,N1_137,link,Km post missing,23.4821382,91.0516944,0.5499999999999972,,N1LRP077,N102_8,5.748743470818044
N1,N1_139,link,Km post missing,23.4815549,91.0613611,0.5169999999999959,,N1LRP078,N102_3,4.832832614554229
N1,N1_141,link,Km post missing,23.4801104,91.0706382,0.347999999999999,,N1LRP079,N102_3,3.9892505337789945
N1,N1_142,link,Km post missing,23.4770271,91.0794716,1.0,,N1LRP080,N102_3,3.3467090206360495
N1,N1_144,link,Km post missing,23.4781938,91.0889997,0.4469999999999885,,N1LRP081,N102_3,2.499175756204537
N1,N1_145,link,Km post missing,23.4775549,91.0986663,1.0,,N1LRP082,N102_2,1.8077864368905965
N1,N1_146,link,Km post missing,23.4779993,91.1055278,1.0,,N1LRP083,N102_2,1.2529695636660239
N1,N1_148,link,Km post missing,23.4789716,91.1179993,0.8799999999999955,,N1LRP084,N102_2,0.9858160776889144
N1,N1_150,link,Km post missing,23.4800827,91.1276382,0.3919999999999959,,N1LRP085,N102_2,1.6375634825821679
N1,N1_152,link,Km post missing,23.4767216,91.1364441,0.8399999999999892,,N1LRP086,N102_2,2.608685064007165
N1,N1_153,link,Km post missing,23.4682216,91.1394441,1.0,,N1LRP087,N102_2,3.367289989643394
N1,N1_154,link,Km post missing,23.4595833,91.1421386,1.0,,N1LRP088,N102_2,4.2136073013388655
N1,N1_155,link,Km post missing,23.4513056,91.1460552,1.0,,N1LRP089,N102_2,5.163972372904563
N1,N1_157,link,Km post missing,23.4425274,91.1497774,0.11599999999999966,,N1LRP090,N102_2,6.1634943467872185
N1,N1_158,link,Ctg 170 km,23.4373886,91.1521944,0.6840000000000117,,N1LRP091,N102_2,6.769554132905746
N1,N1_159,link,Km post missing,23.4288882,91.1553889,1.0,,N1LRP092,N102_2,7.7319285547459575
N1,N1_160,link,Ctg 168 km,23.4236938,91.1626944,0.9799999999999898,,N1LRP093,N102_2,8.631294386222251
N1,N1_162,link,Km post missing,23.4195271,91.171416,0.40099999999999625,,N1LRP094,N102_2,9.537557244119775
N1,N1_163,link,"Ctg 66 km,Feni 52 km",23.4149444,91.1801382,0.6280000000000001,,N1LRP095,N102_2,10.496714824089443
N1,N1_164,link,Km post missing,23.4125,91.1893886,1.0,,N1LRP096,N102_2,11.329249683983718
N1,N1_166,link,Ctg 164 km,23.4113056,91.1988886,0.5290000000000106,,N1LRP097,N102_2,12.105566498925587
N1,N1_167,link,Ctg 163 km,23.4100833,91.2087778,1.027000000000001,,N1LRP098,N102_2,12.941259502140548
N1,N1_168,link,Ctg 162 km,23.4048056,91.2165278,1.016999999999996,,N1LRP099,N102_2,13.923072076374856
N1,N1_169,link,Km post missing,23.398213447804338,91.22288776581436,1.0,,N1LRP100,N102_2,14.894095361699454
N1,N1_171,link,Km post missing,23.3915274,91.2292493,0.9159999999999968,,N1LRP101,N102_2,15.873217508405846
N1,N1_172,link,Km post missing,23.3843886,91.2351108,1.0,,N1LRP102,N102_2,16.849528402897008
N1,N1_173,link,Km post missing,23.377166,91.2409163,1.0,,N1LRP103,N102_2,17.830016124018297
N1,N1_175,link,Km post missing,23.3695827,91.2462774,0.23499999999999943,,N1LRP104,N102_2,18.80736750871856
N1,N1_176,link,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,1.0750000000000028,,N1LRP105,N102_2,19.818326910443258
N1,N1_177,link,Km post missing,23.3536944,91.2561389,1.0,,N1LRP106,N102_2,20.765358299041427
N1,N1_179,link,Km post missing,23.3463608,91.2616944,0.7920000000000016,,N1LRP107,N102_2,21.745022131709895
N1,N1_181,link,Km post missing,23.3390552,91.2672216,0.49500000000000455,,N1LRP108,N102_2,22.721649735966185
N1,N1_182,link,Km post missing,23.3321938,91.2734716,1.0,,N1LRP109,N102_2,23.714202712154222
N1,N1_184,link,Km post missing,23.3246382,91.278666,0.7289999999999992,,N1LRP110,N102_2,24.689356335512134
N1,N1_186,link,Km post missing,23.3171382,91.2836941,0.12300000000000466,,N1LRP111,N102_2,25.649894703341356
