Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,7,494006,5989.987288135593,4458878,18893.550847457627,"N1_857, N1_880, N1_1046, N1_682, N1_1081, N1_178, N1_934, N1_693, N1_218, N1_585, N1_328, N1_988, N1_956, N1_1065, N1_925, N1_628, N1_417, N1_775, N1_941, N1_739, N1_850, N1_884, N1_999, N1_801, N1_861, N1_1009, N1_108, N1_776, N1_885, N1_637, N1_222, N1_319, N1_481, N1_842, N1_20, N1_1015, N1_905, N1_1069, N1_294, N1_929, N1_1050, N1_731, N1_260, N1_298, N1_763, N1_973, N1_189, N1_721, N1_872, N1_911, N1_992, N1_245, N1_1049"
N1,7,404224,6956.590909090909,4684176,212917.0909090909,"N1_343, N1_880, N1_917, N1_410, N1_682, N1_862, N1_882, N1_693, N1_193, N1_802, N1_902, N1_817, N1_356, N1_124, N1_85, N1_241, N1_677, N1_923, N1_941, N1_1078, N1_386, N1_425, N1_278, N1_999, N1_641, N1_806, N1_861, N1_885, N1_833, N1_974, N1_1049, N1_222, N1_431, N1_309, N1_842, N1_561, N1_20, N1_60, N1_684, N1_845, N1_208, N1_958, N1_104, N1_778, N1_600, N1_1042, N1_812, N1_671, N1_940, N1_239, N1_875, N1_41, N1_953, N1_986, N1_774, N1_912, N1_946, N1_92, N1_797, N1_515, N1_562, N1_828"
N1,7,225608,0.0,4729164,0.0,"N1_788, N1_542, N1_178, N1_143, N1_46, N1_435, N1_914, N1_391, N1_306, N1_538, N1_814, N1_503, N1_930, N1_677, N1_1057, N1_386, N1_425, N1_809, N1_278, N1_850, N1_1082, N1_870, N1_641, N1_861, N1_467, N1_704, N1_544, N1_1002, N1_71, N1_833, N1_623, N1_740, N1_397, N1_666, N1_701, N1_981, N1_994, N1_462, N1_842, N1_1015, N1_905, N1_918, N1_1069, N1_650, N1_979, N1_112, N1_320, N1_372, N1_658, N1_452, N1_1005, N1_368, N1_41, N1_617, N1_95, N1_380, N1_89, N1_189, N1_982, N1_92, N1_475, N1_929, N1_1041"
N1,7,247724,0.0,4657845,0.0,"N1_788, N1_220, N1_793, N1_1024, N1_938, N1_800, N1_920, N1_949, N1_266, N1_943, N1_46, N1_780, N1_868, N1_132, N1_205, N1_775, N1_323, N1_887, N1_930, N1_677, N1_661, N1_923, N1_915, N1_850, N1_530, N1_149, N1_224, N1_999, N1_1082, N1_450, N1_214, N1_823, N1_776, N1_989, N1_926, N1_45, N1_833, N1_1002, N1_431, N1_689, N1_981, N1_865, N1_1001, N1_491, N1_842, N1_73, N1_1013, N1_446, N1_905, N1_1015, N1_69, N1_649, N1_320, N1_731, N1_452, N1_516, N1_1017, N1_774, N1_348, N1_592, N1_771, N1_899, N1_992, N1_990, N1_797"
N1,7,615302,5598.735202492212,4312666,13435.096573208722,"N1_35, N1_711, N1_143, N1_988, N1_996, N1_932, N1_1000, N1_614, N1_1022, N1_887, N1_923, N1_850, N1_821, N1_1019, N1_726, N1_1041, N1_974, N1_1049, N1_981, N1_484, N1_905, N1_845, N1_893, N1_138, N1_69, N1_650, N1_841, N1_979, N1_317, N1_235, N1_27, N1_427, N1_1026, N1_763, N1_912, N1_962, N1_95, N1_993, N1_597, N1_639, N1_997, N1_195, N1_899, N1_475, N1_990, N1_797, N1_1034"
N1,7,756701,6906.774193548387,4708855,151898.5483870968,"N1_1039, N1_788, N1_711, N1_1046, N1_793, N1_749, N1_233, N1_479, N1_920, N1_17, N1_178, N1_143, N1_266, N1_802, N1_218, N1_882, N1_132, N1_817, N1_406, N1_6, N1_687, N1_930, N1_246, N1_677, N1_850, N1_75, N1_831, N1_278, N1_293, N1_972, N1_108, N1_605, N1_544, N1_1037, N1_833, N1_397, N1_981, N1_842, N1_1015, N1_736, N1_104, N1_837, N1_473, N1_903, N1_235, N1_260, N1_465, N1_202, N1_935, N1_583, N1_336, N1_572, N1_771, N1_710, N1_997, N1_271, N1_899, N1_92, N1_475, N1_460"
N1,7,586929,4498.611721611722,3832297,7018.858974358975,"N1_787, N1_938, N1_920, N1_934, N1_18, N1_802, N1_996, N1_440, N1_863, N1_775, N1_852, N1_939, N1_530, N1_972, N1_212, N1_796, N1_1070, N1_989, N1_498, N1_833, N1_309, N1_689, N1_952, N1_1027, N1_208, N1_768, N1_364, N1_778, N1_317, N1_415, N1_583, N1_80, N1_816, N1_639, N1_334, N1_92, N1_929, N1_797"
N1,7,829510,6470.015151515152,4630593,35080.25,"N1_788, N1_64, N1_253, N1_1081, N1_862, N1_178, N1_693, N1_132, N1_406, N1_775, N1_930, N1_1078, N1_739, N1_156, N1_686, N1_120, N1_884, N1_999, N1_1080, N1_250, N1_212, N1_967, N1_108, N1_214, N1_992, N1_716, N1_45, N1_859, N1_222, N1_1001, N1_412, N1_604, N1_78, N1_56, N1_784, N1_842, N1_446, N1_947, N1_1029, N1_104, N1_843, N1_979, N1_812, N1_564, N1_1055, N1_935, N1_962, N1_908, N1_189, N1_303, N1_506, N1_469, N1_92, N1_1049"
N1,7,342239,5543.506097560976,4319227,13168.375,"N1_64, N1_793, N1_938, N1_1081, N1_178, N1_780, N1_828, N1_594, N1_614, N1_792, N1_1053, N1_834, N1_386, N1_156, N1_487, N1_582, N1_999, N1_383, N1_801, N1_1019, N1_796, N1_836, N1_823, N1_71, N1_666, N1_849, N1_784, N1_842, N1_73, N1_779, N1_947, N1_69, N1_722, N1_626, N1_1063, N1_731, N1_535, N1_935, N1_639, N1_334, N1_710, N1_771, N1_378, N1_475, N1_873, N1_1061, N1_513"
N1,7,127759,6937.538461538462,4665380,358875.3846153846,"N1_880, N1_931, N1_793, N1_396, N1_789, N1_1081, N1_46, N1_193, N1_458, N1_32, N1_6, N1_792, N1_775, N1_338, N1_16, N1_326, N1_645, N1_246, N1_22, N1_539, N1_386, N1_1073, N1_1082, N1_1019, N1_861, N1_833, N1_319, N1_397, N1_431, N1_610, N1_849, N1_1001, N1_842, N1_180, N1_1015, N1_15, N1_118, N1_969, N1_455, N1_841, N1_658, N1_731, N1_903, N1_671, N1_953, N1_235, N1_986, N1_1055, N1_935, N1_965, N1_597, N1_578, N1_639, N1_771, N1_924, N1_899, N1_873, N1_1049, N1_513"
