Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,8,713550,0,4757727,0,"N1_788, N1_793, N1_756, N1_988, N1_602, N1_942, N1_999, N1_801, N1_806, N1_823, N1_859, N1_304, N1_849, N1_1015, N1_985, N1_690, N1_104, N1_837, N1_320, N1_564, N1_940, N1_935, N1_997, N1_873, N1_912, N1_631, N1_1041, N1_165, N1_938, N1_1081, N1_201, N1_328, N1_132, N1_914, N1_205, N1_775, N1_1057, N1_850, N1_697, N1_635, N1_952, N1_705, N1_905, N1_947, N1_647, N1_1064, N1_953, N1_2, N1_973, N1_380, N1_990, N1_1049, N1_1076, N1_46, N1_228, N1_408, N1_608, N1_67, N1_885, N1_222, N1_73, N1_211, N1_27, N1_581, N1_1055, N1_361, N1_170, N1_825, N1_746, N1_38, N1_828, N1_226, N1_931, N1_611, N1_606, N1_1078, N1_425, N1_530, N1_1082, N1_136, N1_284, N1_994, N1_886, N1_968, N1_909, N1_452, N1_98, N1_555, N1_771, N1_506, N1_899"
N1,8,641322,0,4885213,0,"N1_945, N1_253, N1_505, N1_863, N1_124, N1_323, N1_795, N1_22, N1_942, N1_760, N1_250, N1_801, N1_806, N1_796, N1_389, N1_1002, N1_12, N1_522, N1_859, N1_849, N1_83, N1_570, N1_690, N1_853, N1_812, N1_564, N1_239, N1_816, N1_303, N1_992, N1_339, N1_92, N1_245, N1_873, N1_797, N1_1041, N1_396, N1_479, N1_862, N1_358, N1_930, N1_850, N1_811, N1_1070, N1_905, N1_374, N1_1029, N1_118, N1_918, N1_626, N1_650, N1_368, N1_95, N1_924, N1_36, N1_1049, N1_880, N1_1024, N1_586, N1_178, N1_46, N1_538, N1_85, N1_852, N1_278, N1_65, N1_1004, N1_772, N1_1059, N1_222, N1_431, N1_73, N1_536, N1_535, N1_804, N1_27, N1_986, N1_170, N1_911, N1_115, N1_619, N1_38, N1_828, N1_800, N1_496, N1_902, N1_520, N1_589, N1_809, N1_108, N1_136, N1_981, N1_842, N1_208, N1_452, N1_875, N1_774, N1_743, N1_763, N1_548, N1_659, N1_350, N1_506, N1_899, N1_929"
N1,8,488504,0,4864890,0,"N1_17, N1_505, N1_863, N1_314, N1_999, N1_801, N1_796, N1_214, N1_823, N1_522, N1_1015, N1_104, N1_837, N1_903, N1_70, N1_908, N1_639, N1_873, N1_245, N1_912, N1_513, N1_1034, N1_1039, N1_1041, N1_233, N1_18, N1_328, N1_792, N1_503, N1_976, N1_850, N1_810, N1_24, N1_605, N1_820, N1_833, N1_287, N1_484, N1_905, N1_374, N1_1029, N1_248, N1_477, N1_650, N1_235, N1_95, N1_89, N1_592, N1_195, N1_892, N1_1049, N1_880, N1_33, N1_178, N1_996, N1_645, N1_386, N1_487, N1_278, N1_383, N1_313, N1_1004, N1_414, N1_692, N1_772, N1_885, N1_989, N1_498, N1_1013, N1_865, N1_1027, N1_491, N1_73, N1_896, N1_855, N1_377, N1_1055, N1_53, N1_962, N1_170, N1_189, N1_48, N1_469, N1_38, N1_226, N1_917, N1_931, N1_496, N1_143, N1_934, N1_693, N1_902, N1_868, N1_614, N1_1078, N1_1019, N1_1033, N1_136, N1_740, N1_994, N1_842, N1_968, N1_909, N1_202, N1_771, N1_506, N1_899, N1_515, N1_929"
N1,8,563410,0,4916310,0,"N1_35, N1_788, N1_826, N1_253, N1_458, N1_863, N1_839, N1_332, N1_677, N1_939, N1_1044, N1_1080, N1_199, N1_999, N1_806, N1_76, N1_522, N1_859, N1_1015, N1_375, N1_320, N1_564, N1_1032, N1_816, N1_997, N1_339, N1_92, N1_882, N1_873, N1_912, N1_165, N1_220, N1_744, N1_625, N1_479, N1_201, N1_1012, N1_792, N1_358, N1_503, N1_930, N1_976, N1_850, N1_635, N1_820, N1_45, N1_287, N1_980, N1_947, N1_649, N1_1010, N1_626, N1_1042, N1_455, N1_235, N1_713, N1_973, N1_89, N1_592, N1_924, N1_475, N1_990, N1_1049, N1_243, N1_1076, N1_542, N1_255, N1_161, N1_406, N1_951, N1_417, N1_539, N1_156, N1_772, N1_885, N1_481, N1_491, N1_73, N1_366, N1_754, N1_112, N1_400, N1_986, N1_53, N1_962, N1_597, N1_189, N1_115, N1_38, N1_828, N1_890, N1_917, N1_143, N1_606, N1_693, N1_943, N1_569, N1_520, N1_230, N1_981, N1_284, N1_604, N1_842, N1_994, N1_60, N1_762, N1_209, N1_352, N1_757, N1_202, N1_774, N1_399, N1_350, N1_771, N1_197, N1_506, N1_872"
N1,8,342415,0,4760613,0,"N1_35, N1_788, N1_945, N1_1000, N1_839, N1_1080, N1_224, N1_801, N1_1002, N1_1015, N1_985, N1_424, N1_216, N1_104, N1_936, N1_837, N1_239, N1_997, N1_303, N1_912, N1_797, N1_957, N1_58, N1_479, N1_1081, N1_328, N1_205, N1_503, N1_887, N1_930, N1_1057, N1_755, N1_453, N1_836, N1_833, N1_905, N1_232, N1_958, N1_188, N1_385, N1_650, N1_257, N1_312, N1_953, N1_990, N1_1049, N1_857, N1_542, N1_579, N1_1030, N1_161, N1_687, N1_85, N1_417, N1_67, N1_386, N1_278, N1_450, N1_147, N1_1059, N1_431, N1_784, N1_684, N1_845, N1_843, N1_969, N1_658, N1_804, N1_1055, N1_993, N1_931, N1_693, N1_902, N1_783, N1_425, N1_809, N1_1082, N1_1019, N1_203, N1_701, N1_994, N1_842, N1_446, N1_208, N1_968, N1_722, N1_897, N1_260, N1_774, N1_743, N1_207, N1_872, N1_899, N1_101, N1_817"
N1,8,286787,0,4846328,0,"N1_35, N1_949, N1_920, N1_332, N1_677, N1_402, N1_760, N1_12, N1_849, N1_782, N1_1015, N1_985, N1_936, N1_812, N1_940, N1_583, N1_816, N1_70, N1_303, N1_882, N1_301, N1_245, N1_797, N1_1041, N1_165, N1_233, N1_862, N1_201, N1_328, N1_132, N1_914, N1_32, N1_775, N1_503, N1_511, N1_850, N1_29, N1_810, N1_1070, N1_45, N1_952, N1_705, N1_947, N1_647, N1_847, N1_953, N1_235, N1_1036, N1_721, N1_924, N1_633, N1_1049, N1_460, N1_880, N1_951, N1_687, N1_925, N1_67, N1_147, N1_772, N1_885, N1_498, N1_222, N1_309, N1_491, N1_56, N1_180, N1_845, N1_138, N1_112, N1_211, N1_986, N1_962, N1_189, N1_906, N1_1056, N1_226, N1_917, N1_143, N1_606, N1_693, N1_902, N1_943, N1_354, N1_520, N1_1066, N1_1082, N1_623, N1_397, N1_284, N1_185, N1_446, N1_1063, N1_897, N1_824, N1_197"
N1,8,182947,0,4852176,0,"N1_35, N1_788, N1_920, N1_494, N1_505, N1_1000, N1_839, N1_314, N1_338, N1_22, N1_999, N1_801, N1_870, N1_796, N1_714, N1_1037, N1_859, N1_15, N1_364, N1_778, N1_320, N1_812, N1_564, N1_557, N1_908, N1_997, N1_245, N1_873, N1_631, N1_912, N1_165, N1_58, N1_744, N1_201, N1_328, N1_205, N1_792, N1_930, N1_850, N1_755, N1_1001, N1_947, N1_118, N1_69, N1_188, N1_1010, N1_41, N1_713, N1_95, N1_380, N1_502, N1_1049, N1_1024, N1_33, N1_586, N1_178, N1_802, N1_161, N1_6, N1_608, N1_85, N1_436, N1_852, N1_278, N1_62, N1_885, N1_865, N1_491, N1_845, N1_964, N1_1055, N1_1038, N1_448, N1_962, N1_572, N1_38, N1_191, N1_828, N1_917, N1_931, N1_728, N1_606, N1_902, N1_520, N1_425, N1_809, N1_1082, N1_861, N1_482, N1_678, N1_397, N1_78, N1_842, N1_208, N1_968, N1_1063, N1_209, N1_978, N1_757, N1_202, N1_774, N1_743, N1_824, N1_419, N1_197, N1_872, N1_899, N1_817, N1_929"
N1,8,132132,0,4867154,0,"N1_793, N1_381, N1_789, N1_756, N1_858, N1_920, N1_585, N1_1000, N1_356, N1_863, N1_766, N1_839, N1_795, N1_677, N1_939, N1_941, N1_250, N1_801, N1_212, N1_870, N1_359, N1_544, N1_823, N1_1002, N1_1037, N1_304, N1_849, N1_985, N1_83, N1_237, N1_15, N1_690, N1_853, N1_655, N1_1032, N1_369, N1_631, N1_513, N1_912, N1_959, N1_1039, N1_218, N1_132, N1_40, N1_440, N1_792, N1_775, N1_930, N1_850, N1_947, N1_736, N1_69, N1_847, N1_650, N1_235, N1_368, N1_41, N1_960, N1_89, N1_475, N1_990, N1_1049, N1_460, N1_579, N1_178, N1_46, N1_408, N1_406, N1_687, N1_417, N1_386, N1_278, N1_293, N1_414, N1_772, N1_808, N1_1013, N1_845, N1_1017, N1_962, N1_993, N1_189, N1_825, N1_272, N1_1056, N1_828, N1_728, N1_907, N1_143, N1_984, N1_693, N1_421, N1_884, N1_1082, N1_108, N1_43, N1_136, N1_994, N1_842, N1_921, N1_60, N1_446, N1_818, N1_722, N1_350, N1_197, N1_872, N1_441, N1_899, N1_982, N1_717, N1_929"
N1,8,469923,0,4820843,0,"N1_788, N1_752, N1_381, N1_151, N1_458, N1_585, N1_863, N1_677, N1_939, N1_941, N1_199, N1_212, N1_796, N1_806, N1_101, N1_823, N1_1002, N1_1037, N1_522, N1_304, N1_1045, N1_782, N1_985, N1_375, N1_570, N1_510, N1_104, N1_778, N1_837, N1_307, N1_975, N1_317, N1_239, N1_750, N1_935, N1_303, N1_92, N1_873, N1_912, N1_165, N1_625, N1_1081, N1_1012, N1_132, N1_205, N1_358, N1_930, N1_976, N1_915, N1_850, N1_811, N1_392, N1_635, N1_776, N1_45, N1_833, N1_905, N1_947, N1_649, N1_918, N1_1069, N1_248, N1_713, N1_348, N1_89, N1_378, N1_475, N1_990, N1_1049, N1_460, N1_880, N1_46, N1_161, N1_996, N1_406, N1_925, N1_450, N1_1013, N1_462, N1_56, N1_27, N1_986, N1_962, N1_38, N1_1056, N1_828, N1_931, N1_800, N1_943, N1_693, N1_695, N1_526, N1_902, N1_869, N1_500, N1_783, N1_520, N1_1078, N1_482, N1_678, N1_464, N1_813, N1_875, N1_1047, N1_207, N1_771, N1_899, N1_717, N1_515"
N1,8,685878,0,4810961,0,"N1_788, N1_664, N1_793, N1_1000, N1_602, N1_863, N1_594, N1_760, N1_199, N1_801, N1_821, N1_212, N1_140, N1_714, N1_1002, N1_71, N1_970, N1_83, N1_237, N1_690, N1_1028, N1_936, N1_320, N1_812, N1_671, N1_239, N1_816, N1_908, N1_369, N1_636, N1_912, N1_1041, N1_744, N1_862, N1_201, N1_132, N1_914, N1_930, N1_75, N1_605, N1_836, N1_232, N1_947, N1_1029, N1_736, N1_918, N1_248, N1_847, N1_455, N1_953, N1_368, N1_298, N1_2, N1_25, N1_89, N1_1049, N1_880, N1_1030, N1_161, N1_996, N1_608, N1_539, N1_67, N1_739, N1_383, N1_414, N1_772, N1_989, N1_431, N1_462, N1_896, N1_684, N1_845, N1_211, N1_581, N1_962, N1_38, N1_906, N1_828, N1_931, N1_934, N1_693, N1_902, N1_868, N1_614, N1_520, N1_530, N1_1082, N1_842, N1_208, N1_762, N1_909, N1_722, N1_813, N1_465, N1_875, N1_774, N1_207, N1_578, N1_872, N1_899, N1_929"
