Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,6,332018,4299.085365853659,3785152,6594.341463414634,"N1_880, N1_165, N1_253, N1_920, N1_1081, N1_178, N1_143, N1_526, N1_132, N1_241, N1_520, N1_386, N1_29, N1_230, N1_278, N1_199, N1_809, N1_884, N1_203, N1_823, N1_885, N1_833, N1_136, N1_981, N1_994, N1_875, N1_962, N1_95, N1_348, N1_189, N1_115, N1_924, N1_38, N1_1041"
N1,6,994244,4220.689883913765,3648832,6051.131011608623,"N1_788, N1_880, N1_178, N1_693, N1_1000, N1_863, N1_503, N1_930, N1_199, N1_999, N1_806, N1_414, N1_147, N1_772, N1_222, N1_865, N1_462, N1_842, N1_947, N1_837, N1_655, N1_812, N1_112, N1_986, N1_202, N1_935, N1_1017, N1_803, N1_89, N1_899, N1_475, N1_990, N1_828"
N1,6,374879,4272.28987993139,3690925,6330.917667238422,"N1_35, N1_165, N1_931, N1_143, N1_902, N1_421, N1_850, N1_821, N1_823, N1_776, N1_1049, N1_522, N1_397, N1_431, N1_1013, N1_981, N1_83, N1_947, N1_918, N1_843, N1_647, N1_841, N1_731, N1_211, N1_903, N1_986, N1_1017, N1_207, N1_89, N1_997, N1_115, N1_475, N1_1041, N1_828"
N1,6,289689,4919.468131868131,4075808,8957.819780219781,"N1_880, N1_165, N1_917, N1_233, N1_255, N1_780, N1_161, N1_1012, N1_132, N1_914, N1_406, N1_32, N1_996, N1_1000, N1_417, N1_503, N1_923, N1_278, N1_870, N1_212, N1_833, N1_1049, N1_981, N1_994, N1_73, N1_1015, N1_947, N1_837, N1_647, N1_473, N1_452, N1_986, N1_1032, N1_771, N1_899, N1_226, N1_38, N1_339, N1_912, N1_460"
N1,6,306991,3478.5618279569894,3128420,4204.865591397849,"N1_35, N1_788, N1_253, N1_496, N1_201, N1_802, N1_328, N1_996, N1_775, N1_224, N1_1049, N1_397, N1_981, N1_491, N1_20, N1_446, N1_918, N1_843, N1_647, N1_650, N1_812, N1_1050, N1_986, N1_92, N1_817, N1_929, N1_1041"
N1,6,452862,2832.9632183908047,2589505,2976.442528735632,"N1_917, N1_693, N1_161, N1_132, N1_32, N1_930, N1_425, N1_884, N1_522, N1_865, N1_20, N1_985, N1_845, N1_188, N1_1042, N1_853, N1_1050, N1_935, N1_460, N1_245, N1_1049, N1_828"
N1,6,677333,4880.841541755889,4028670,8626.702355460386,"N1_793, N1_862, N1_143, N1_802, N1_902, N1_132, N1_996, N1_32, N1_939, N1_884, N1_224, N1_383, N1_999, N1_801, N1_1019, N1_796, N1_823, N1_989, N1_865, N1_994, N1_462, N1_73, N1_83, N1_905, N1_118, N1_837, N1_841, N1_812, N1_875, N1_935, N1_1017, N1_912, N1_1047, N1_348, N1_89, N1_997, N1_899, N1_339, N1_797, N1_460"
N1,6,767043,3740.901591895803,3357165,4858.415340086831,"N1_793, N1_949, N1_1081, N1_693, N1_32, N1_839, N1_930, N1_520, N1_386, N1_850, N1_884, N1_999, N1_250, N1_801, N1_203, N1_414, N1_108, N1_885, N1_498, N1_833, N1_842, N1_20, N1_83, N1_15, N1_812, N1_95, N1_89, N1_911, N1_899, N1_1049"
N1,6,333717,3697.3566333808844,3310403,4722.400855920114,"N1_788, N1_253, N1_1081, N1_780, N1_161, N1_421, N1_503, N1_124, N1_939, N1_850, N1_885, N1_222, N1_397, N1_981, N1_865, N1_842, N1_83, N1_232, N1_905, N1_837, N1_812, N1_1032, N1_89, N1_92, N1_990, N1_1049, N1_828"
N1,6,133176,3697.903546099291,3297064,4676.686524822695,"N1_35, N1_788, N1_880, N1_793, N1_255, N1_323, N1_85, N1_241, N1_930, N1_850, N1_809, N1_278, N1_801, N1_821, N1_870, N1_772, N1_836, N1_776, N1_222, N1_431, N1_491, N1_842, N1_947, N1_647, N1_1050, N1_940, N1_235, N1_774, N1_816, N1_771, N1_825, N1_1049"
