Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,2,499799,645.6143292682926,89873,68.50076219512195,N1_899
N1,2,671572,578.0,0,0.0,
N1,2,977497,578.0,0,0.0,
N1,2,671009,578.0,0,0.0,
N1,2,684060,707.0485736314572,171817,132.47262914417888,N1_788
N1,2,229633,578.0,0,0.0,
N1,2,748606,578.0,0,0.0,
N1,2,743718,905.1050119331742,428179,340.63564041368335,"N1_788, N1_899, N1_842"
N1,2,679455,706.5134511913913,168873,129.80245964642583,N1_1049
N1,2,343370,707.9591993841417,172591,132.86451116243265,N1_842
