Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,3,509108,1390.8221070811744,1052529,908.919689119171,"N1_788, N1_165, N1_939, N1_104, N1_837, N1_92, N1_797"
N1,3,287754,902.0214455917395,437311,347.34789515488484,"N1_880, N1_924, N1_95"
N1,3,484920,1067.3032520325203,646487,525.5991869918699,"N1_1082, N1_104, N1_161, N1_1000, N1_776"
N1,3,910226,1170.6260364842453,770929,639.2446102819238,"N1_931, N1_849, N1_994, N1_870, N1_108, N1_929"
N1,3,591256,904.8730158730159,428256,339.8857142857143,"N1_930, N1_865, N1_845"
N1,3,675115,1162.7603648424545,759320,629.6185737976783,"N1_981, N1_850, N1_962, N1_863, N1_320"
N1,3,154309,1481.9721496953873,1152007,1002.6170583115753,"N1_222, N1_842, N1_935, N1_1015, N1_95, N1_996, N1_812"
N1,3,664862,1523.9125441696112,1228567,1085.3065371024734,"N1_92, N1_994, N1_1017, N1_278, N1_178, N1_104, N1_776, N1_32, N1_912"
N1,3,448354,1033.7907542579076,604817,490.5247364152474,"N1_930, N1_425, N1_165, N1_999"
N1,3,728558,1235.5352348993288,849445,712.621644295302,"N1_165, N1_981, N1_809, N1_999, N1_872, N1_899, N1_823"
