Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,4,746134,1895.8323863636363,1619032,1533.1742424242425,"N1_165, N1_986, N1_793, N1_520, N1_774, N1_884, N1_862, N1_348, N1_1019, N1_693, N1_872, N1_899, N1_833, N1_460"
N1,4,751961,1617.577817531306,1332193,1191.5858676207513,"N1_386, N1_83, N1_947, N1_178, N1_861, N1_837, N1_132, N1_863, N1_460"
N1,4,633876,2199.460921843687,1939023,1942.9088176352705,"N1_520, N1_842, N1_1047, N1_809, N1_1082, N1_143, N1_870, N1_997, N1_902, N1_161, N1_914, N1_863, N1_912, N1_460"
N1,4,310124,1623.8351254480287,1317559,1180.608422939068,"N1_788, N1_425, N1_800, N1_809, N1_143, N1_348, N1_914, N1_817, N1_873, N1_828"
N1,4,602451,1812.5315398886828,1512247,1402.8265306122448,"N1_865, N1_774, N1_446, N1_947, N1_999, N1_693, N1_924, N1_899, N1_914, N1_833, N1_839"
N1,4,815529,1701.8284671532847,1405447,1282.3421532846714,"N1_880, N1_849, N1_947, N1_929, N1_161, N1_1000, N1_132, N1_823, N1_817, N1_873, N1_797, N1_828"
N1,4,520011,1399.8444252376837,1074141,928.3846153846154,"N1_880, N1_278, N1_997, N1_104, N1_776, N1_161, N1_899, N1_823, N1_92"
N1,4,588708,1789.7067530064755,1486329,1374.9574468085107,"N1_788, N1_842, N1_774, N1_446, N1_905, N1_947, N1_997, N1_104, N1_918, N1_924, N1_885, N1_1049"
N1,4,567544,1494.2199824715162,1146247,1004.5985977212971,"N1_880, N1_1049, N1_1017, N1_850, N1_1000, N1_899, N1_885, N1_776, N1_797"
N1,4,190678,1618.3467741935483,1301846,1166.5286738351253,"N1_1017, N1_850, N1_1047, N1_999, N1_816, N1_143, N1_833, N1_839, N1_460"
