Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges
N1,3,348376,1095.977886977887,682264,558.7747747747748,"N1_837, N1_839, N1_73, N1_817"
N1,3,785584,713.2629144178875,179478,138.3793369313801,"N1_801, N1_885"
N1,3,253483,841.6317859952793,357717,281.44531864673485,"N1_912, N1_222, N1_460"
N1,3,914442,1562.9929328621909,1236586,1092.3904593639577,"N1_520, N1_870, N1_930, N1_884, N1_947, N1_902, N1_320, N1_1015, N1_862, N1_816"
N1,3,331231,1033.0445344129555,603361,488.5514170040486,"N1_837, N1_108, N1_873, N1_772"
N1,3,405017,1148.526837324525,742242,612.9165978530141,"N1_801, N1_939, N1_912, N1_677, N1_828, N1_348, N1_929, N1_800"
N1,3,106247,1040.544272948822,599613,487.09423233143787,"N1_793, N1_771, N1_884, N1_997, N1_816"
N1,3,804290,1293.3763713080168,920458,776.757805907173,"N1_828, N1_797, N1_999, N1_817, N1_132, N1_850"
N1,3,822016,1294.3395427603725,923650,782.0914479254869,"N1_32, N1_920, N1_863, N1_947, N1_914, N1_986, N1_899"
N1,3,565062,971.4514835605453,510923,409.7217321571772,"N1_1015, N1_1081, N1_905, N1_931"
