Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges
N1,5,588635,2154.863545816733,1888899,1881.3735059760957,"N1_842, N1_793, N1_255, N1_452, N1_875, N1_828, N1_788, N1_348, N1_1026, N1_775, N1_999, N1_862, N1_1042, N1_1055, N1_809, N1_899, N1_502"
N1,5,643388,2688.9187986651837,2457973,2734.119021134594,"N1_782, N1_793, N1_930, N1_940, N1_32, N1_994, N1_1013, N1_216, N1_38, N1_861, N1_245, N1_339, N1_693, N1_986, N1_414, N1_839, N1_143, N1_812"
N1,5,224683,2372.7662874870734,2142721,2215.8438469493276,"N1_520, N1_801, N1_35, N1_92, N1_821, N1_930, N1_771, N1_1078, N1_195, N1_1049, N1_498, N1_513, N1_792, N1_446, N1_731, N1_917, N1_104"
N1,5,527982,2080.5546875,1838844,1795.74609375,"N1_774, N1_823, N1_772, N1_452, N1_981, N1_788, N1_348, N1_841, N1_112, N1_949, N1_914, N1_850, N1_45, N1_143, N1_899"
N1,5,513730,1881.404716981132,1597839,1507.395283018868,"N1_520, N1_323, N1_35, N1_837, N1_842, N1_918, N1_1017, N1_861, N1_776, N1_999, N1_949, N1_1081"
N1,5,915937,1808.0656799259943,1558188,1441.432007400555,"N1_462, N1_38, N1_796, N1_999, N1_339, N1_397, N1_233, N1_817, N1_143, N1_202"
N1,5,822178,2655.3863885839737,2402555,2637.272228320527,"N1_842, N1_323, N1_425, N1_939, N1_994, N1_875, N1_924, N1_197, N1_1017, N1_947, N1_861, N1_1015, N1_693, N1_873, N1_905, N1_1081, N1_138, N1_143"
N1,5,920375,1918.2096774193549,1650564,1566.0,"N1_823, N1_1013, N1_682, N1_796, N1_902, N1_83, N1_199, N1_861, N1_1015, N1_15, N1_962, N1_809, N1_202"
N1,5,554266,2633.347116430903,2406856,2618.994559303591,"N1_452, N1_902, N1_513, N1_650, N1_230, N1_845, N1_124, N1_849, N1_348, N1_873, N1_224, N1_823, N1_999, N1_233, N1_425, N1_178, N1_802, N1_816, N1_812"
N1,5,317647,2861.4310544611817,2599471,3012.13325608343,"N1_930, N1_872, N1_1015, N1_650, N1_939, N1_515, N1_95, N1_85, N1_348, N1_873, N1_224, N1_990, N1_999, N1_899, N1_847, N1_1000, N1_235, N1_792, N1_132, N1_885, N1_803"
