Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges
N1,6,286714,4141.769867549669,3576980,5922.152317880795,"N1_782, N1_771, N1_147, N1_885, N1_861, N1_250, N1_776, N1_650, N1_997, N1_929, N1_201, N1_257, N1_981, N1_1019, N1_932, N1_348, N1_862, N1_817, N1_935, N1_908, N1_520, N1_823, N1_775, N1_381, N1_383, N1_962, N1_917, N1_850, N1_899, N1_905, N1_530, N1_29, N1_1081, N1_809, N1_816, N1_812"
N1,6,939130,4362.181338028169,3785640,6664.859154929577,"N1_940, N1_1047, N1_924, N1_20, N1_112, N1_914, N1_929, N1_104, N1_502, N1_837, N1_797, N1_136, N1_796, N1_15, N1_446, N1_772, N1_520, N1_884, N1_1049, N1_990, N1_947, N1_83, N1_108, N1_381, N1_899, N1_406, N1_89, N1_425, N1_788, N1_863, N1_235, N1_339, N1_809, N1_650, N1_143"
N1,6,447741,3279.632051282051,2993052,3837.246153846154,"N1_782, N1_940, N1_650, N1_199, N1_842, N1_821, N1_417, N1_920, N1_257, N1_816, N1_161, N1_491, N1_246, N1_1049, N1_83, N1_108, N1_833, N1_386, N1_850, N1_406, N1_912, N1_178, N1_1000, N1_905, N1_885"
N1,6,597297,4029.846153846154,3507326,5506.0062794348505,"N1_323, N1_930, N1_872, N1_115, N1_20, N1_902, N1_655, N1_1015, N1_914, N1_188, N1_929, N1_939, N1_837, N1_417, N1_981, N1_873, N1_823, N1_278, N1_216, N1_884, N1_1017, N1_1049, N1_841, N1_999, N1_1002, N1_863, N1_1000, N1_792, N1_903, N1_29, N1_816"
N1,6,652514,4512.280961182994,3820898,7062.658040665435,"N1_940, N1_930, N1_771, N1_431, N1_143, N1_861, N1_776, N1_650, N1_853, N1_188, N1_929, N1_997, N1_104, N1_502, N1_842, N1_774, N1_1023, N1_92, N1_918, N1_73, N1_981, N1_862, N1_1082, N1_935, N1_823, N1_911, N1_677, N1_1017, N1_990, N1_841, N1_83, N1_999, N1_165, N1_863, N1_205, N1_1041, N1_816, N1_803, N1_202"
N1,6,764545,3790.3985294117647,3375257,4963.613235294118,"N1_323, N1_930, N1_872, N1_992, N1_112, N1_253, N1_914, N1_997, N1_1023, N1_32, N1_920, N1_95, N1_85, N1_981, N1_828, N1_1078, N1_862, N1_817, N1_226, N1_841, N1_232, N1_999, N1_475, N1_833, N1_386, N1_800, N1_425, N1_339, N1_905, N1_865, N1_803"
N1,6,846063,4697.530364372469,3929920,7955.3036437246965,"N1_885, N1_421, N1_853, N1_1055, N1_997, N1_929, N1_230, N1_502, N1_981, N1_828, N1_348, N1_15, N1_935, N1_772, N1_1012, N1_450, N1_491, N1_825, N1_278, N1_1049, N1_947, N1_836, N1_841, N1_943, N1_999, N1_962, N1_1002, N1_800, N1_138, N1_850, N1_406, N1_89, N1_202, N1_865, N1_985, N1_1000, N1_993, N1_205, N1_880, N1_45, N1_812"
N1,6,792251,3798.4148148148147,3373989,4998.502222222222,"N1_793, N1_771, N1_655, N1_250, N1_104, N1_1023, N1_92, N1_918, N1_136, N1_796, N1_935, N1_224, N1_772, N1_823, N1_825, N1_255, N1_911, N1_216, N1_1017, N1_212, N1_841, N1_775, N1_241, N1_850, N1_788, N1_792, N1_949, N1_1041, N1_650, N1_143"
N1,6,447957,4153.31484502447,3610989,5890.68352365416,"N1_930, N1_872, N1_924, N1_115, N1_222, N1_253, N1_421, N1_938, N1_914, N1_1032, N1_842, N1_417, N1_920, N1_257, N1_828, N1_796, N1_460, N1_817, N1_873, N1_923, N1_994, N1_1012, N1_990, N1_212, N1_1041, N1_386, N1_203, N1_425, N1_165, N1_847, N1_1081, N1_530, N1_986"
N1,6,726479,3154.771322620519,2894731,3578.159456118665,"N1_503, N1_222, N1_421, N1_929, N1_824, N1_1032, N1_73, N1_862, N1_446, N1_772, N1_450, N1_246, N1_320, N1_475, N1_328, N1_241, N1_839, N1_899, N1_35, N1_165, N1_1000, N1_792, N1_1081, N1_812"
