Road,Scenario,Seed,Average_driving_time,Accumulate_delay_time,Average_delay_time,Broken_bridges
N1,4,836529,1632.262353998203,1328445,1193.5714285714287,"N1_870, N1_89, N1_930, N1_73, N1_924, N1_1019, N1_776, N1_460, N1_1081, N1_962, N1_885"
N1,4,262739,1295.01775147929,911082,770.14539306847,"N1_939, N1_872, N1_863, N1_1081, N1_914, N1_809, N1_850"
N1,4,332366,1599.2940125111706,1283160,1146.7024128686328,"N1_425, N1_918, N1_1047, N1_1049, N1_841, N1_83, N1_1000, N1_905, N1_899, N1_104"
N1,4,210520,1565.4392191659272,1238564,1098.992014196983,"N1_842, N1_800, N1_930, N1_920, N1_95, N1_1017, N1_1000, N1_962, N1_845, N1_917"
N1,4,420313,1425.2560553633218,1063991,920.4074394463668,"N1_920, N1_924, N1_828, N1_1000, N1_1015, N1_833, N1_917, N1_996"
N1,4,865745,1479.2045654082528,1132919,994.6611062335381,"N1_842, N1_924, N1_788, N1_796, N1_503, N1_999, N1_833"
N1,4,365188,1206.3879598662206,817575,683.5911371237459,"N1_837, N1_38, N1_862, N1_929, N1_845, N1_885, N1_880"
N1,4,430253,1462.6933101650739,1131244,982.8357949609035,"N1_425, N1_849, N1_1049, N1_863, N1_446, N1_962, N1_161, N1_800, N1_816"
N1,4,380783,1075.746317512275,645099,527.9042553191489,"N1_801, N1_677, N1_849, N1_986, N1_880, N1_994"
N1,4,302028,1781.1236162361624,1486287,1371.1134686346863,"N1_801, N1_912, N1_994, N1_924, N1_1049, N1_788, N1_1015, N1_446, N1_929, N1_850, N1_143"
