Scenario,Seed,Number of vehicles,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
4,764496,1,5238.0,6278,6278.0,"A, C, C, B, A, B, B, B, B, B, B, C, A, A, B, B, C, A, A, A, B, C, A, A, A, C, C, B, A, C, C, A, C, A, C, C, C, A, C, B, A, A","N1_812, N1_687, N1_12, N1_120, N1_931, N1_520, N1_647, N1_1007, N1_491, N1_565, N1_235, N1_239, N1_804, N1_89, N1_207, N1_241, N1_650, N1_1017, N1_350, N1_865, N1_1065, N1_195, N1_392, N1_792, N1_1042, N1_246, N1_1056, N1_769, N1_999, N1_684, N1_796, N1_897, N1_118, N1_597, N1_450, N1_905, N1_913, N1_939, N1_564, N1_799, N1_38, N1_278",0.0
4,978264,1,6477.0,6555,6555.0,"B, A, C, C, A, B, C, B, B, B, B, A, A, C, A, A, A, B, C, B, B, A, B, A, B, B, B, A, A, C, A, A, A, A, C, B, A, C, A, C, D, C, C, C, C, C, A, B, C, C, D, A, C, B, C, B, A, D","N1_27, N1_352, N1_990, N1_690, N1_253, N1_671, N1_143, N1_803, N1_346, N1_203, N1_526, N1_435, N1_992, N1_1033, N1_348, N1_138, N1_903, N1_498, N1_20, N1_800, N1_553, N1_870, N1_207, N1_585, N1_1000, N1_650, N1_930, N1_32, N1_386, N1_522, N1_817, N1_232, N1_783, N1_805, N1_918, N1_381, N1_841, N1_1049, N1_406, N1_975, N1_862, N1_450, N1_431, N1_894, N1_826, N1_697, N1_307, N1_885, N1_1032, N1_872, N1_469, N1_369, N1_366, N1_842, N1_38, N1_43, N1_920, N1_863",0.0
4,941630,1,4989.0,6195,6195.0,"C, C, B, B, A, B, A, B, B, B, B, A, A, A, A, A, A, C, A, C, A, A, C, B, B, A, C, C, B, A, A, D, C, A, D, C, A, A, A, C, C, D","N1_969, N1_319, N1_893, N1_578, N1_994, N1_112, N1_257, N1_806, N1_611, N1_92, N1_800, N1_870, N1_869, N1_650, N1_930, N1_594, N1_243, N1_921, N1_899, N1_604, N1_628, N1_462, N1_475, N1_104, N1_693, N1_786, N1_1049, N1_597, N1_675, N1_896, N1_947, N1_759, N1_372, N1_955, N1_1015, N1_964, N1_872, N1_836, N1_115, N1_875, N1_920, N1_452",0.0
4,249104,1,5256.0,6336,6336.0,"A, C, C, C, C, B, A, B, B, A, B, A, C, A, A, A, A, A, A, A, A, A, A, A, C, C, C, B, D, A, C, C, A, C, C, A, D, A, A, B, A, A","N1_441, N1_704, N1_850, N1_649, N1_978, N1_260, N1_789, N1_339, N1_843, N1_855, N1_816, N1_837, N1_224, N1_348, N1_161, N1_239, N1_343, N1_1001, N1_354, N1_625, N1_930, N1_165, N1_208, N1_865, N1_921, N1_195, N1_787, N1_73, N1_555, N1_574, N1_873, N1_887, N1_918, N1_796, N1_6, N1_914, N1_1059, N1_1066, N1_583, N1_1055, N1_38, N1_448",0.0
4,972113,1,6438.0,6526,6526.0,"B, C, B, C, C, B, B, A, A, B, B, C, A, A, A, B, B, C, A, B, B, A, A, A, A, A, C, A, A, A, A, A, D, A, C, A, C, C, D, C, B, D, C, B, B, B, C, A, C, C, B, C, C, A","N1_151, N1_809, N1_969, N1_319, N1_515, N1_932, N1_417, N1_293, N1_789, N1_205, N1_465, N1_35, N1_473, N1_940, N1_788, N1_626, N1_89, N1_207, N1_742, N1_650, N1_32, N1_136, N1_73, N1_606, N1_15, N1_899, N1_1056, N1_446, N1_222, N1_1023, N1_999, N1_841, N1_174, N1_569, N1_923, N1_947, N1_826, N1_301, N1_372, N1_981, N1_1041, N1_778, N1_882, N1_518, N1_872, N1_1047, N1_115, N1_842, N1_590, N1_839, N1_784, N1_736, N1_917, N1_756",0.0
