Scenario,Seed,Number of vehicles,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
3,764496,2,2810.5,5551,2775.5,"C, C, B, B, C, B, C, B, D, C, C, C, D, C, C, D, B, C","N1_386, N1_211, N1_788, N1_682, N1_899, N1_372, N1_1015, N1_421, N1_833, N1_850, N1_880, N1_95, N1_870, N1_796, N1_797, N1_953, N1_32, N1_503",0.0
3,978264,3,1926.6666666666667,4893,1631.0,"B, C, B, C, C, C, C, C, D, C, B, C, C, C","N1_771, N1_923, N1_924, N1_348, N1_446, N1_880, N1_132, N1_841, N1_842, N1_996, N1_1017, N1_112, N1_774, N1_201",0.0
3,941630,3,2011.0,4989,1663.0,"C, C, B, B, B, C, C, C, C, C, D, B, B","N1_949, N1_902, N1_73, N1_216, N1_124, N1_383, N1_677, N1_870, N1_693, N1_38, N1_930, N1_863, N1_943",0.0
3,249104,2,3186.0,5678,2839.0,"B, B, B, B, C, C, C, C, C, D, C, B, C, C, C, C, C, C, C, B, B, B, B","N1_809, N1_845, N1_41, N1_797, N1_503, N1_189, N1_138, N1_962, N1_865, N1_847, N1_1050, N1_989, N1_918, N1_841, N1_862, N1_202, N1_947, N1_1078, N1_828, N1_981, N1_842, N1_863, N1_993",0.0
3,972113,3,2215.0,5157,1719.0,"B, C, B, B, B, C, B, C, C, D, C, D, B, C, D","N1_899, N1_849, N1_383, N1_817, N1_323, N1_803, N1_994, N1_1049, N1_842, N1_953, N1_339, N1_520, N1_199, N1_278, N1_816",0.0
