Scenario,Seed,Number of vehicles,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
0,380990,7,578.0,0,0.0,,,0.0
0,476103,7,578.0,0,0.0,,,0.0
0,378772,7,578.0,0,0.0,,,0.0
0,822431,7,578.0,0,0.0,,,0.0
