Road,Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Broken_bridges
N1,4,336088,0,0,0,"N1_448, N207_121, N2_381, N204_1, N102_83, N1_997, N207_74, N102_131, N1_803, N106_81, N102_33, N2_342, N1_253, N1_837, N1_710, N208_112, N1_792, N106_116, N207_67, N207_105, N1_441, N1_38, N1_947, N2_679, N1_914, N1_255, N1_911, N1_479, N1_899, N2_94, N2_215, N1_912, N1_850, N105_36, N1_270, N1_92, N106_148, N102_146, N106_76, N104_77, N207_59, N1_650, N1_893, N1_875, N105_34, N1_796, N2_364, N1_201, N207_32, N1_834, N1_378, N1_460, N2_356, N2_122, N1_205, N1_996, N1_56, N2_647, N2_56, N1_870, N106_101, N1_32, N1_1049, N102_148, N1_508, N2_378, N204_38, N2_436, N2_461, N102_129, N1_857, N2_509, N1_935, N1_842, N2_153, N2_561, N1_863, N104_71, N1_853, N1_897, N1_903, N102_59, N1_348, N2_463, N2_538, N208_102, N207_6, N106_64, N102_97, N2_469, N1_920, N1_999, N105_41, N2_449, N2_473, N1_1065, N106_86, N1_1017, N106_11, N1_879, N207_93, N207_56, N2_83, N1_180, N208_148, N1_1012, N1_722, N1_127, N106_56, N102_90, N204_55, N2_54, N1_766, N1_994, N1_392, N1_307, N1_924, N1_677, N102_51, N1_841, N1_151, N102_64, N1_473, N207_123, N1_619, N102_117, N106_142, N2_413, N2_681, N204_62, N1_257, N1_557, N1_823"
N1,4,456255,0,0,0,"N207_66, N207_121, N204_1, N1_884, N102_131, N204_56, N207_16, N1_981, N1_792, N106_88, N1_649, N1_95, N1_614, N208_71, N1_315, N1_513, N2_454, N1_850, N1_475, N1_702, N207_49, N102_146, N1_943, N104_77, N1_650, N1_246, N1_752, N1_178, N2_640, N1_201, N2_121, N1_195, N1_604, N2_122, N2_245, N1_996, N1_625, N106_152, N1_32, N1_1049, N1_973, N204_38, N1_929, N1_872, N2_648, N1_778, N2_231, N1_836, N2_684, N104_36, N2_82, N2_18, N2_713, N1_1057, N106_98, N1_424, N104_43, N1_797, N2_40, N2_229, N104_8, N2_311, N1_734, N1_903, N2_737, N1_782, N106_64, N2_377, N204_68, N2_415, N2_119, N104_65, N1_687, N106_30, N102_123, N2_288, N2_638, N105_68, N102_72, N1_1070, N1_862, N104_48, N1_1017, N208_134, N1_847, N1_1044, N2_147, N102_152, N1_813, N104_60, N2_358, N1_814, N102_22, N1_628, N105_77, N2_658, N2_618, N102_119, N1_406, N1_1062, N1_639, N207_91, N106_90, N2_111, N208_106, N2_54, N2_610, N2_630, N1_924, N1_677, N1_469, N106_110, N1_73, N102_117, N2_569, N106_35, N2_403, N204_59, N1_823"
N1,4,304572,0,0,0,"N2_438, N1_960, N1_837, N1_428, N1_312, N1_800, N106_116, N2_264, N1_328, N1_38, N2_213, N2_169, N1_914, N1_1033, N207_88, N1_67, N1_731, N1_513, N1_899, N1_1055, N1_850, N1_536, N1_313, N1_475, N102_136, N106_76, N2_511, N1_918, N2_522, N1_178, N208_47, N1_201, N207_32, N1_865, N1_831, N106_136, N1_438, N2_356, N102_68, N2_581, N1_967, N2_86, N1_481, N105_5, N1_319, N1_870, N1_902, N207_114, N2_376, N207_46, N2_92, N204_21, N2_231, N1_828, N102_71, N207_125, N1_990, N1_22, N1_104, N1_842, N1_939, N2_153, N106_73, N1_394, N2_561, N2_187, N106_89, N207_6, N1_366, N1_905, N1_861, N207_41, N2_377, N204_48, N2_119, N207_84, N104_53, N1_1029, N2_724, N1_41, N1_730, N1_920, N102_92, N106_158, N1_811, N106_11, N2_203, N1_272, N104_46, N207_93, N1_287, N104_60, N204_63, N1_250, N1_559, N1_757, N1_636, N1_989, N207_45, N106_56, N102_90, N2_655, N2_206, N208_72, N2_383, N1_392, N2_585, N208_69, N1_151, N1_917, N106_110, N2_320, N1_619, N204_62, N1_375, N1_823"
N1,4,870776,0,0,0,"N2_381, N1_783, N102_83, N1_1078, N1_803, N1_27, N106_147, N1_837, N208_25, N208_65, N2_213, N2_169, N208_30, N106_40, N102_125, N106_38, N208_103, N1_364, N204_3, N1_255, N1_313, N2_555, N106_76, N1_1059, N1_165, N102_65, N1_941, N1_875, N2_602, N2_185, N1_224, N106_95, N105_47, N204_20, N1_940, N102_69, N208_14, N104_23, N1_460, N2_201, N2_356, N106_121, N2_701, N1_746, N2_332, N2_296, N1_56, N2_279, N1_319, N1_32, N2_100, N2_85, N207_61, N204_38, N1_108, N2_684, N1_956, N1_849, N102_115, N2_479, N1_1000, N1_907, N1_356, N208_124, N2_137, N208_120, N1_383, N106_96, N1_842, N1_805, N1_143, N1_89, N1_621, N1_797, N1_853, N1_931, N2_23, N102_62, N104_8, N1_903, N1_83, N2_622, N106_64, N1_861, N104_29, N1_1001, N204_48, N104_65, N208_89, N104_53, N2_234, N2_170, N1_372, N1_873, N1_306, N106_51, N1_120, N102_76, N1_1017, N1_233, N106_11, N1_1044, N2_29, N2_147, N2_576, N207_93, N2_280, N2_83, N102_104, N1_788, N106_113, N2_430, N106_20, N102_90, N104_38, N1_425, N2_54, N2_477, N106_130, N1_1009, N1_682, N102_64, N207_123, N2_681, N106_35, N2_403"
N1,4,708774,0,0,0,"N1_214, N1_450, N1_960, N102_131, N1_132, N1_803, N1_1007, N1_323, N106_88, N106_138, N207_105, N208_27, N2_232, N2_213, N2_169, N1_947, N106_40, N2_689, N208_103, N2_20, N204_3, N1_255, N104_84, N1_479, N1_899, N1_850, N102_15, N1_635, N102_108, N1_92, N106_148, N102_146, N1_943, N1_650, N104_26, N1_918, N1_613, N1_930, N102_69, N2_121, N208_86, N104_31, N2_66, N2_164, N2_677, N102_110, N106_119, N207_78, N1_484, N1_520, N2_122, N1_586, N1_446, N105_12, N1_301, N2_402, N1_789, N1_870, N1_569, N204_4, N1_32, N102_148, N207_61, N208_54, N1_511, N207_46, N2_67, N207_63, N2_484, N1_578, N104_5, N1_828, N1_1000, N1_461, N1_962, N1_22, N1_1041, N1_939, N104_62, N1_464, N1_143, N2_561, N104_71, N1_658, N2_187, N2_707, N208_100, N2_506, N1_526, N102_165, N104_65, N2_724, N2_117, N2_170, N1_953, N1_216, N1_812, N1_759, N1_1038, N106_13, N207_1, N106_62, N1_98, N1_644, N104_18, N1_260, N2_310, N1_345, N1_314, N1_989, N2_745, N106_56, N1_421, N1_506, N208_72, N2_421, N2_253, N2_222, N207_28, N1_503, N1_610, N106_110, N207_81, N1_666, N2_456, N1_705, N1_118, N102_55, N1_823"
N1,4,806563,0,0,0,"N105_61, N2_671, N1_431, N1_1078, N1_428, N1_278, N1_981, N207_107, N1_592, N1_320, N1_817, N2_169, N1_1022, N2_494, N1_946, N208_103, N1_914, N2_578, N106_5, N207_87, N1_750, N104_13, N1_1020, N1_850, N1_1028, N208_118, N2_273, N102_146, N1_414, N1_197, N1_212, N2_423, N105_49, N1_796, N1_50, N1_178, N1_791, N102_69, N106_136, N2_80, N104_23, N208_86, N1_460, N1_816, N104_40, N102_68, N2_443, N207_90, N2_296, N1_996, N102_66, N106_152, N1_1049, N2_743, N1_397, N1_894, N204_38, N1_929, N2_221, N1_22, N1_1041, N2_241, N1_805, N208_49, N106_73, N1_271, N106_92, N104_71, N2_370, N105_65, N1_1013, N105_55, N1_903, N1_348, N1_83, N2_538, N1_222, N2_622, N207_6, N1_138, N1_352, N1_938, N2_167, N208_78, N1_693, N2_209, N104_53, N2_489, N2_667, N1_41, N105_68, N2_355, N2_27, N208_66, N2_473, N1_862, N102_74, N2_692, N208_1, N102_94, N104_46, N208_62, N1_250, N1_502, N208_85, N2_236, N208_10, N2_474, N1_339, N102_28, N1_185, N1_161, N1_421, N2_97, N106_46, N2_49, N1_994, N106_118, N1_677, N1_151, N207_81, N1_473, N1_73, N208_74, N2_413, N1_697, N2_456, N1_823"
N1,4,480495,0,0,0,"N102_9, N102_83, N1_309, N106_147, N1_837, N102_19, N208_76, N1_312, N208_65, N2_264, N106_116, N2_636, N1_38, N1_686, N208_80, N1_1019, N2_605, N104_1, N106_38, N1_361, N1_124, N106_43, N1_498, N102_43, N1_943, N207_59, N102_113, N1_29, N106_126, N105_49, N1_714, N2_522, N2_604, N1_178, N1_597, N1_611, N1_806, N2_364, N1_771, N1_865, N1_930, N106_65, N2_588, N2_631, N2_677, N207_78, N2_101, N2_362, N2_468, N1_538, N1_85, N106_152, N1_1049, N2_238, N204_38, N2_67, N104_16, N106_155, N1_496, N208_120, N1_990, N2_218, N1_842, N208_130, N1_143, N104_71, N105_57, N2_23, N2_196, N1_734, N1_596, N1_12, N1_83, N1_222, N207_6, N207_128, N102_165, N1_985, N1_802, N102_106, N1_963, N1_953, N1_999, N2_475, N106_13, N1_721, N1_862, N1_793, N1_847, N104_46, N106_3, N207_93, N1_718, N1_250, N1_757, N106_153, N1_314, N204_51, N1_1047, N2_627, N1_594, N1_892, N106_90, N2_256, N2_338, N1_161, N1_421, N104_38, N2_54, N1_1023, N2_490, N1_716, N1_841, N1_682, N106_80, N1_58, N1_619, N1_1050, N2_260, N208_20, N1_823"
N1,4,259552,0,0,0,"N1_136, N1_1015, N102_112, N1_330, N1_462, N1_309, N207_16, N208_112, N1_981, N2_150, N106_88, N2_264, N106_138, N102_121, N2_107, N1_1074, N2_169, N104_1, N1_984, N106_43, N207_87, N1_479, N1_513, N1_452, N207_49, N106_76, N104_77, N1_769, N2_418, N1_650, N1_246, N104_26, N1_791, N1_885, N204_20, N1_771, N2_304, N102_47, N2_428, N1_336, N2_34, N1_460, N2_201, N204_58, N102_68, N104_64, N102_53, N1_586, N1_996, N2_445, N1_235, N1_319, N106_101, N1_740, N106_18, N2_326, N1_397, N1_108, N1_929, N1_872, N2_221, N104_36, N1_78, N208_120, N1_637, N106_8, N1_805, N1_424, N1_931, N1_797, N2_286, N1_83, N2_538, N2_167, N2_415, N2_200, N2_209, N1_303, N2_170, N1_730, N1_1024, N102_72, N208_92, N105_41, N2_687, N2_449, N1_1076, N2_495, N2_147, N106_3, N2_492, N1_809, N1_670, N1_518, N1_377, N106_153, N1_339, N105_81, N1_18, N1_76, N106_20, N2_338, N1_115, N1_33, N1_425, N2_462, N2_512, N1_994, N1_664, N1_917, N106_110, N1_743, N1_666, N207_123, N2_681, N1_257, N1_375, N204_59"
N1,4,514067,0,0,0,"N1_2, N1_1015, N2_711, N102_112, N2_438, N2_453, N102_33, N105_60, N1_837, N207_16, N1_888, N1_792, N2_387, N1_1039, N1_230, N2_169, N1_821, N1_350, N106_38, N2_716, N204_34, N2_20, N1_605, N207_88, N102_77, N1_911, N2_215, N1_1055, N1_912, N104_13, N207_82, N1_555, N1_825, N102_15, N105_36, N1_635, N1_843, N106_148, N105_31, N104_77, N1_500, N102_113, N1_544, N2_522, N2_364, N105_47, N1_771, N1_865, N1_780, N1_460, N1_925, N102_39, N104_40, N207_78, N1_520, N2_541, N102_133, N207_129, N106_101, N1_1049, N1_740, N1_64, N102_148, N106_18, N207_61, N1_343, N2_484, N1_778, N105_74, N208_28, N1_962, N1_530, N1_62, N1_952, N104_81, N1_863, N2_392, N2_498, N1_348, N1_905, N1_861, N208_140, N106_15, N1_955, N104_65, N1_985, N102_162, N208_64, N104_67, N2_489, N2_170, N1_1032, N208_122, N102_12, N2_355, N1_1070, N2_570, N2_748, N104_58, N1_1051, N1_793, N106_11, N2_105, N104_46, N2_574, N2_397, N207_93, N102_22, N2_352, N2_714, N1_46, N208_101, N2_474, N204_25, N102_28, N106_90, N1_161, N1_986, N2_158, N1_338, N102_137, N2_383, N1_503, N1_677, N2_373, N2_372, N207_81, N1_73, N2_132, N1_880, N106_142, N105_54, N102_55, N1_823"
N1,4,690117,0,0,0,"N102_83, N1_997, N102_131, N1_330, N1_803, N2_384, N207_16, N2_269, N2_150, N106_88, N1_386, N2_444, N1_328, N1_817, N1_1019, N208_30, N106_40, N2_75, N207_88, N1_984, N1_255, N2_722, N106_23, N2_163, N104_80, N2_664, N1_188, N1_912, N1_541, N106_76, N1_752, N1_918, N1_796, N2_546, N1_771, N1_201, N2_121, N104_40, N207_78, N2_581, N1_205, N1_996, N2_362, N1_24, N2_130, N106_152, N207_109, N204_4, N1_1049, N2_520, N208_51, N204_38, N2_422, N104_5, N1_583, N1_801, N1_828, N102_115, N2_216, N1_962, N1_71, N1_842, N2_271, N1_596, N2_622, N106_64, N1_138, N105_24, N1_352, N208_36, N2_415, N204_48, N1_374, N1_985, N2_724, N102_106, N208_2, N2_355, N1_389, N106_158, N2_687, N106_13, N207_1, N102_76, N1_1051, N104_18, N2_572, N1_847, N208_99, N2_147, N207_93, N102_22, N208_62, N1_868, N2_518, N2_618, N1_647, N102_104, N2_179, N1_736, N1_989, N1_1062, N207_91, N207_47, N106_90, N106_20, N1_656, N1_425, N2_54, N1_994, N1_503, N106_80, N102_64, N1_619, N1_1002, N1_726, N2_456"
