Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
1,956905,25.593967517401392,0,0.0,,,17337.578601682864
1,574434,39.194835680751176,6770,15.892018779342724,D,N1_842,16825.225930773508
1,952241,37.27230046948357,6033,14.161971830985916,D,N1_842,16903.26631563315
1,531504,24.91415313225058,0,0.0,,,17441.254408297395
1,447071,22.95813953488372,0,0.0,,,18866.996722830812
