Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
2,956905,233.991643454039,91750,255.5710306406685,"C, C, C, D, D, C, C, C, C, C, D, C, C","N102_148, N208_60, N2_356, N106_15, N2_589, N204_38, N1_222, N104_26, N1_828, N2_122, N1_73, N1_899, N207_16",6352.502012334498
2,574434,176.95,69819,183.7342105263158,"C, C, C, C, C, D, C, C, C, D, C, D, D, C","N106_118, N102_148, N208_60, N106_76, N204_38, N106_16, N207_88, N1_1047, N1_32, N106_67, N1_503, N102_55, N1_823, N104_77",11534.966835589834
2,952241,150.6604774535809,62869,166.76127320954907,"C, C, C, C, C, C, C, C, C, C, C, D, C","N1_920, N2_167, N204_38, N1_776, N1_793, N1_1017, N1_32, N1_1047, N104_26, N106_38, N1_95, N1_817, N207_78",8886.407795273977
2,531504,110.33080808080808,44759,113.02777777777777,"C, C, C, D, C, C, C","N1_931, N1_386, N1_930, N106_11, N1_812, N1_446, N106_65",16956.50133320471
2,447071,190.86216216216215,77350,209.05405405405406,"C, C, C, C, C, C, C, C, C, C","N2_356, N1_905, N106_147, N1_320, N1_793, N1_178, N1_914, N2_23, N1_503, N106_65",12910.763726306237
