Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Categories,Broken_bridges,Average Speed
3,956905,296.4491803278689,135083,442.8950819672131,"C, C, B, B, B, C, D, C, C, D, B, C, B, C, C, B, B, C, C, C, C, B, B, C, B, B","N104_36, N1_850, N1_902, N2_64, N102_39, N1_949, N104_87, N2_604, N1_837, N2_264, N2_25, N106_43, N1_83, N106_16, N1_526, N1_73, N1_414, N106_142, N204_17, N1_491, N1_930, N1_873, N1_1019, N104_38, N104_60, N2_29",12687.078628746294
3,574434,369.6013986013986,159202,556.6503496503497,"C, C, C, C, B, C, C, C, C, B, D, B, B, C, C, D, C, B, B, C, C, B, C, B, B, C, B, C","N204_20, N1_1049, N1_800, N1_104, N2_355, N2_618, N106_118, N1_328, N1_993, N2_318, N2_218, N207_35, N1_912, N2_724, N1_962, N1_222, N1_772, N1_108, N2_248, N106_110, N106_65, N207_121, N104_32, N2_29, N104_38, N102_121, N2_3, N1_132",7996.491388392537
3,952241,241.593984962406,150832,567.0375939849624,"C, B, C, B, C, B, B, B, B, B, C, B, B, C, D, C, C, D, C, B, C, B, D, C, C, B, D, C, D, C, C, B, C, B, D, C","N106_81, N102_94, N207_88, N1_914, N105_1, N1_226, N1_828, N208_60, N2_121, N1_849, N207_74, N102_9, N1_232, N106_76, N1_339, N106_90, N204_1, N1_799, N102_148, N1_115, N106_55, N207_47, N1_222, N1_178, N1_108, N1_842, N1_821, N1_450, N104_5, N207_61, N1_421, N1_981, N1_930, N1_776, N1_207, N102_55",7323.990672525977
3,531504,309.3541666666667,179114,746.3083333333333,"C, C, B, B, B, C, B, B, B, C, B, C, B, C, C, C, C, C, B, B, B, C, B, B, B, B, C, C, C, C, C, B, C, C, C, B, D, C, B, C, B","N1_996, N1_914, N102_146, N102_64, N102_77, N208_60, N1_902, N1_847, N207_46, N1_452, N1_775, N1_386, N106_35, N1_520, N208_72, N106_13, N1_1055, N1_372, N1_837, N1_406, N102_65, N102_12, N1_161, N106_148, N1_178, N1_255, N1_1002, N106_67, N207_82, N106_3, N1_880, N1_450, N207_76, N1_924, N207_66, N1_1023, N1_253, N2_201, N106_147, N2_538, N2_23",16762.59500377034
3,447071,253.38926174496643,132407,444.31879194630875,"C, B, C, C, B, C, C, C, C, B, C, C, C, C, B, B, C, C, D, C, B, C, B, B, C, C, C, B","N1_986, N1_920, N204_20, N204_7, N208_34, N1_348, N102_165, N2_623, N1_862, N1_201, N1_875, N106_90, N1_425, N1_650, N1_872, N1_839, N1_513, N106_51, N1_73, N1_990, N207_61, N207_121, N106_147, N2_221, N102_72, N102_121, N2_3, N106_56",9957.364868200446
