Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Average Speed
1,873690,263.13369626130816,0,0.0,532.703811973393
1,749795,274.66332303494767,348483,13.98238574810416,521.740164780292
1,712947,262.57770121389365,0,0.0,532.9420065071705
1,349481,276.10115108490754,320014,12.834957686600088,510.6696108249274
1,234529,270.73700477662265,204304,8.200698430538273,520.4589991990554
1,223012,263.6254908245853,0,0.0,532.8258245358415
1,440242,288.8964476807338,688046,27.680170575692962,515.1377835501685
1,898852,262.9177922962844,0,0.0,532.5903201457614
1,553639,263.6915498598318,0,0.0,532.4449667977977
1,264834,262.6725483135278,0,0.0,532.83372331803
