Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Average Speed
3,873690,869.9037682964808,15960302,710.0726075543889,202.07380375469089
3,749795,784.7231133315803,13951623,611.4305811201683,215.21509861469622
3,712947,751.753366345235,12899508,560.3122230909564,263.3157250995437
3,349481,783.921086052113,13682681,599.1977665863806,236.54314086268397
3,234529,893.8605602489996,16271334,723.4919519786572,199.62192475015587
3,223012,751.5640389802488,12942617,563.0652136082833,214.73563123370295
3,440242,877.7125889679716,15890867,706.8891014234875,206.14066082795892
3,898852,763.0522687609075,13143380,573.4458987783595,233.47458527808215
3,553639,968.6288913162207,18720108,851.998361551065,163.0029599345286
3,264834,829.8415841584158,14985890,662.3890558698727,208.224401643163
