Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Average Speed
2,873690,453.56009565826906,5025814,207.22442584422546,350.20630676787295
2,749795,462.08736420339545,5221499,215.6842083522657,323.10871317458015
2,712947,525.250490543982,7022022,293.1583517722206,354.2422143845258
2,349481,609.6359274826985,9123145,387.3453487878402,287.5953560768874
2,234529,415.81351273741643,4025738,165.14493169791197,371.99608093862736
2,223012,371.6803959912002,2859864,116.51038865802983,418.1019931042492
2,440242,349.4869303630229,2273495,92.42225293711127,435.96210763961903
2,898852,376.17632653061224,3086673,125.98665306122449,434.10848177525224
2,553639,446.39086482917975,4912351,202.68819112064696,386.2502409428621
2,264834,308.2268544676729,1285280,51.87182177738316,498.2770482955346
