Scenario,Seed,Average_driving_time,Total_waiting_time,Average_waiting_time,Average Speed
4,873690,1814.869882596265,44193905,2688.3572601739766,81.58239122914614
4,749795,2064.625412648068,49130835,3180.1951582626707,61.676967785388904
4,712947,1840.5863207010357,41104574,2338.9424149311485,68.00201976589041
4,349481,1776.3473557692307,43253817,2599.3880408653845,73.13896592088332
4,234529,1789.0350658597365,42766780,2537.4854633914797,78.98183412948059
4,223012,1726.460135135135,39303143,2213.0148085585583,78.21238222980772
4,440242,2061.5158316633265,50488775,3372.6636606546426,72.9928693989744
4,898852,1931.6721856269658,43677340,2591.9731766660734,75.85951295036024
4,553639,1943.1779557403106,45569241,2785.7464849003545,70.17077907018114
4,264834,1849.031704246309,41542444,2377.386059288085,78.84183543752843
